BSSID, First time seen, Last time seen, channel, Speed, Privacy, Cipher, Authentication, Power, # beacons, # IV, LAN IP, ID-length, ESSID, Key,Station MAC, First time seen, Last time seen, Power, # packets, BSSID, Probed ESSIDs
AC:85:3D:EF:52:D0, 2023-01-30 20:21:59, 2023-01-30 20:29:36,11,130, WPA2, CCMP, PSK,-76,9,8,   0.  0.  0.  0,9, Big Mouth, ,3E:BF:87:F7:FD:FA, 2023-01-30 20:28:58, 2023-01-30 20:28:58,-55,2, (not associated) ,
DE:02:44:0C:2D:23, 2023-01-30 20:21:58, 2023-01-30 20:28:59,6,130, WPA3 WPA2, CCMP, SAE PSK,-70,6,0,   0.  0.  0.  0,23, , ,C2:85:C1:50:51:46, 2023-01-30 20:28:59, 2023-01-30 20:28:59,-63,1, (not associated) ,
18:E8:29:FE:EB:AF, 2023-01-30 20:27:24, 2023-01-30 20:28:51,2,-1, , ,   ,-1,0,0,   0.  0.  0.  0,0, , ,36:B4:C3:D7:F8:60, 2023-01-30 20:28:58, 2023-01-30 20:28:58,-65,1, (not associated) ,
D8:38:0D:80:A0:C1, 2023-01-30 20:25:07, 2023-01-30 20:25:51,7,-1, , ,   ,-1,0,0,   0.  0.  0.  0,0, , ,4E:21:4F:5C:F4:25, 2023-01-30 20:28:59, 2023-01-30 20:28:59,-67,4, F4:92:BF:CA:7C:AC,
48:F8:DB:20:BA:C4, 2023-01-30 20:26:09, 2023-01-30 20:26:09,6,-1, , ,   ,-1,0,0,   0.  0.  0.  0,0, , ,B2:F9:10:7A:D6:B9, 2023-01-30 20:28:47, 2023-01-30 20:28:47,-65,2, (not associated) ,
C2:9B:D1:CB:CF:64, 2023-01-30 20:24:33, 2023-01-30 20:27:42,6,-1, , ,   ,-1,0,0,   0.  0.  0.  0,0, , ,DE:70:C4:F9:A5:6F, 2023-01-30 20:24:58, 2023-01-30 20:28:47,-67,34, (not associated) ,OSHINEI_CUSTOMER
E8:65:D4:64:D1:15, 2023-01-30 20:24:09, 2023-01-30 20:29:17,40,780, WPA2, CCMP TKIP, PSK,-84,9,0,   0.  0.  0.  0,8, MHOME_5G, ,7A:0F:90:1F:52:86, 2023-01-30 20:28:47, 2023-01-30 20:28:47,-71,1, (not associated) ,
C0:C9:E3:D7:DD:9D, 2023-01-30 20:22:07, 2023-01-30 20:29:59,2,270, OPN, ,   ,-76,11,7,   0.  0.  0.  0,11, Maprang_FL6, ,76:C0:81:7D:F9:AC, 2023-01-30 20:28:44, 2023-01-30 20:28:44,-83,1, 78:90:A2:8F:A5:CE,
50:C7:BF:1A:87:93, 2023-01-30 20:21:58, 2023-01-30 20:30:01,4,130, WPA2, CCMP, PSK,-59,180,178,   0.  0.  0.  0,13, Mhome_Private, ,34:6F:24:0F:D0:FF, 2023-01-30 20:26:32, 2023-01-30 20:28:33,-71,4, (not associated) ,
14:91:82:A4:38:51, 2023-01-30 20:22:07, 2023-01-30 20:29:59,6,54, OPN, ,   ,-72,19,0,   0.  0.  0.  0,13, SrongklodWifi, ,84:6F:CE:6F:D0:E9, 2023-01-30 20:24:44, 2023-01-30 20:28:07,-65,8, E8:65:D4:64:D1:11,
AC:9E:17:5C:AE:CC, 2023-01-30 20:21:59, 2023-01-30 20:30:00,6,130, WPA2, CCMP, PSK,-70,39,67,   0.  0.  0.  0,8, MHome2.4, ,6E:84:5D:4A:5C:77, 2023-01-30 20:27:45, 2023-01-30 20:27:45,-63,1, (not associated) ,
10:27:F5:69:FB:1A, 2023-01-30 20:21:59, 2023-01-30 20:30:01,10,270, WPA2, CCMP, PSK,-70,114,0,   0.  0.  0.  0,12, BajangWIFI24, ,16:34:A2:0D:A0:D5, 2023-01-30 20:23:16, 2023-01-30 20:27:45,-69,12, E8:65:D4:64:D1:11,
A6:07:B6:39:1A:BE, 2023-01-30 20:28:51, 2023-01-30 20:29:59,7,65, WPA2, CCMP, PSK,-69,16,7,   0.  0.  0.  0,9, AndroidAP, ,92:27:2A:AD:7C:F4, 2023-01-30 20:27:45, 2023-01-30 20:27:45,-73,1, (not associated) ,
F4:92:BF:CA:7C:AC, 2023-01-30 20:21:55, 2023-01-30 20:30:02,1,130, OPN, ,   ,-70,32,272,  10.  5. 50. 79,14, M-HOME_2.4 FL3, ,4E:6D:8A:F4:35:08, 2023-01-30 20:27:32, 2023-01-30 20:27:32,-63,2, (not associated) ,
78:90:A2:8F:A5:CE, 2023-01-30 20:21:59, 2023-01-30 20:30:01,11,360, WPA2, CCMP TKIP, PSK,-67,150,1,   0.  0.  0.  0,10, sirin_2.4G, ,9C:2F:9D:9A:5F:43, 2023-01-30 20:27:31, 2023-01-30 20:27:31,-82,3, (not associated) ,
8C:FD:18:B0:9E:64, 2023-01-30 20:21:59, 2023-01-30 20:30:00,9,130, WPA2 WPA, CCMP, PSK,-67,101,8,   0.  0.  0.  0,4, Reef, ,02:76:23:2C:9D:B8, 2023-01-30 20:27:09, 2023-01-30 20:27:09,-71,2, (not associated) ,
56:C1:A1:5C:DE:B9, 2023-01-30 20:21:59, 2023-01-30 20:29:43,11,180, WPA2, CCMP, PSK,-67,17,0,   0.  0.  0.  0,9, realme 5i, ,FE:4C:8F:7B:63:30, 2023-01-30 20:27:00, 2023-01-30 20:27:00,-57,1, (not associated) ,
00:0E:F4:FB:E5:59, 2023-01-30 20:21:58, 2023-01-30 20:30:02,1,130, WPA2 WPA, CCMP TKIP, PSK,-63,70,0,   0.  0.  0.  0,4, TEST, ,D2:01:61:12:66:81, 2023-01-30 20:26:57, 2023-01-30 20:26:57,-79,1, 00:25:00:FF:94:73,
FC:EC:DA:E6:51:D9, 2023-01-30 20:21:59, 2023-01-30 20:30:01,11,130, OPN, ,   ,-71,273,77,  10.  5. 50.205,10, M-HOME_FL4, ,DA:AD:64:46:49:54, 2023-01-30 20:26:59, 2023-01-30 20:26:59,-80,1, 00:25:00:FF:94:73,
1A:5F:A7:1C:AB:D7, 2023-01-30 20:21:58, 2023-01-30 20:30:01,6,130, WPA3 WPA2, CCMP, SAE PSK,-47,243,10,   0.  0.  0.  0,3, Aim, ,76:F6:BE:42:BA:FF, 2023-01-30 20:26:43, 2023-01-30 20:26:43,-77,1, (not associated) ,
E8:65:D4:64:D1:11, 2023-01-30 20:21:58, 2023-01-30 20:29:59,5,270, WPA2, CCMP TKIP, PSK,-51,220,10,   0.  0.  0.  0,5, MHOME, ,34:6F:24:E4:65:8B, 2023-01-30 20:26:43, 2023-01-30 20:26:43,-83,1, (not associated) ,
F0:0F:EC:72:20:98, 2023-01-30 20:21:58, 2023-01-30 20:30:02,1,130, WPA2, CCMP, PSK,-39,161,5,   0.  0.  0.  0,4, ... , ,C6:2D:7A:F8:CE:F9, 2023-01-30 20:26:20, 2023-01-30 20:26:20,-61,1, (not associated) ,
00:25:00:FF:94:73, 2023-01-30 20:26:57, 2023-01-30 20:29:47,-1,-1, , ,   ,-1,0,0,   0.  0.  0.  0,0, , ,92:BE:58:33:1C:48, 2023-01-30 20:26:12, 2023-01-30 20:26:12,-63,1, (not associated) ,
,,,,,,,,,,,,,,,96:AC:B9:E5:FF:C0, 2023-01-30 20:26:12, 2023-01-30 20:26:12,-65,1, (not associated) ,
,,,,,,,,,,,,,,,FE:85:C3:0E:5D:C7, 2023-01-30 20:26:12, 2023-01-30 20:26:12,-69,2, (not associated) ,
,,,,,,,,,,,,,,,D4:A6:51:97:37:03, 2023-01-30 20:26:09, 2023-01-30 20:26:09,-83,3, 48:F8:DB:20:BA:C4,
,,,,,,,,,,,,,,,12:C9:6B:95:AE:8F, 2023-01-30 20:25:58, 2023-01-30 20:25:58,-49,2, (not associated) ,
,,,,,,,,,,,,,,,AA:58:C2:A0:68:0D, 2023-01-30 20:25:23, 2023-01-30 20:25:23,-69,4, (not associated) ,
,,,,,,,,,,,,,,,DA:7C:E4:5C:34:17, 2023-01-30 20:24:44, 2023-01-30 20:24:44,-63,1, (not associated) ,
,,,,,,,,,,,,,,,64:90:C1:8A:52:9E, 2023-01-30 20:24:36, 2023-01-30 20:24:36,-89,1, 8C:FD:18:B0:9E:64,
,,,,,,,,,,,,,,,72:C4:7B:B8:25:2F, 2023-01-30 20:24:10, 2023-01-30 20:24:10,-59,1, (not associated) ,
