BSSID, First time seen, Last time seen, channel, Speed, Privacy, Cipher, Authentication, Power, # beacons, # IV, LAN IP, ID-length, ESSID, Key,Station MAC, First time seen, Last time seen, Power, # packets, BSSID, Probed ESSIDs
56:C1:A1:5C:DE:B9, 2023-01-30 19:31:14, 2023-01-30 19:37:34,11,180, WPA2, CCMP, PSK,-73,16,0,   0.  0.  0.  0,9, realme 5i, ,02:34:98:1C:DD:1D, 2023-01-30 19:36:59, 2023-01-30 19:36:59,-73,3, (not associated) ,
30:0A:C5:9E:24:63, 2023-01-30 19:31:42, 2023-01-30 19:37:27,11,130, WPA2, CCMP, PSK,-80,11,0,   0.  0.  0.  0,8, PanPanDa, ,76:8C:98:6C:36:53, 2023-01-30 19:33:59, 2023-01-30 19:36:59,-73,3, E8:65:D4:64:D1:11,
64:20:E0:6C:2F:1B, 2023-01-30 19:36:45, 2023-01-30 19:36:59,2,360, WPA2, CCMP, PSK,-70,2,0,   0.  0.  0.  0,0, , ,FA:BA:65:56:1F:10, 2023-01-30 19:36:42, 2023-01-30 19:36:42,-69,2, (not associated) ,
66:20:E0:1C:2F:1B, 2023-01-30 19:35:42, 2023-01-30 19:36:59,2,360, WPA2, CCMP, PSK,-72,3,0,   0.  0.  0.  0,12, Taewifi_2.4G, ,C2:5C:27:08:BF:ED, 2023-01-30 19:36:33, 2023-01-30 19:36:33,-71,1, DE:02:44:0C:2D:23,
C2:18:03:9E:31:CC, 2023-01-30 19:35:51, 2023-01-30 19:35:51,11,65, WPA2, CCMP, PSK,-82,0,0,   0.  0.  0.  0,23, DIRECT-CC-HP Laser 135w, ,26:6E:01:17:75:83, 2023-01-30 19:36:22, 2023-01-30 19:36:22,-63,1, (not associated) ,
CC:64:A6:7D:49:24, 2023-01-30 19:32:34, 2023-01-30 19:38:17,11,130, WPA2 WPA, CCMP, PSK,-82,10,0,   0.  0.  0.  0,4, A600, ,8C:FD:18:B0:9E:64, 2023-01-30 19:36:18, 2023-01-30 19:36:18,-63,1, (not associated) ,
14:91:82:A4:38:51, 2023-01-30 19:35:25, 2023-01-30 19:35:25,6,54, OPN, ,   ,-80,1,0,   0.  0.  0.  0,13, SrongklodWifi, ,3A:1F:84:DD:C0:5C, 2023-01-30 19:35:42, 2023-01-30 19:35:42,-69,1, (not associated) ,
F6:92:BF:CB:7C:AC, 2023-01-30 19:34:59, 2023-01-30 19:34:59,4,-1, , ,   ,-1,0,0,   0.  0.  0.  0,0, , ,EA:D8:E6:FE:41:5C, 2023-01-30 19:35:45, 2023-01-30 19:35:45,-73,1, (not associated) ,
7A:DA:88:5F:63:1E, 2023-01-30 19:33:36, 2023-01-30 19:33:36,2,270, WPA2, CCMP, PSK,-70,1,0,   0.  0.  0.  0,0, , ,34:6F:24:0F:D0:FF, 2023-01-30 19:31:32, 2023-01-30 19:35:33,-67,10, (not associated) ,
FE:EC:DA:E7:51:D9, 2023-01-30 19:33:25, 2023-01-30 19:33:25,8,-1, , ,   ,-1,0,0,   0.  0.  0.  0,0, , ,96:F9:FC:41:74:47, 2023-01-30 19:35:20, 2023-01-30 19:35:20,-63,1, (not associated) ,
