BSSID, First time seen, Last time seen, channel, Speed, Privacy, Cipher, Authentication, Power, # beacons, # IV, LAN IP, ID-length, ESSID, Key,Station MAC, First time seen, Last time seen, Power, # packets, BSSID, Probed ESSIDs
E8:65:D4:64:D1:11, 2023-01-30 20:30:18, 2023-01-30 20:37:59,5,270, WPA2, CCMP TKIP, PSK,-55,160,8,   0.  0.  0.  0,5, MHOME, ,92:8D:CE:C2:88:4F, 2023-01-30 20:32:12, 2023-01-30 20:32:12,-63,1, (not associated) ,
1A:5F:A7:1C:AB:D7, 2023-01-30 20:30:16, 2023-01-30 20:38:02,6,130, WPA3 WPA2, CCMP, SAE PSK,-53,285,11,   0.  0.  0.  0,3, Aim, ,22:43:F9:17:0E:D5, 2023-01-30 20:32:12, 2023-01-30 20:32:12,-65,1, (not associated) ,
F0:0F:EC:72:20:98, 2023-01-30 20:30:16, 2023-01-30 20:38:01,1,130, WPA2, CCMP, PSK,-44,162,50,   0.  0.  0.  0,4, ... , ,22:F7:66:D5:E9:C2, 2023-01-30 20:31:49, 2023-01-30 20:31:49,-55,2, (not associated) ,
,,,,,,,,,,,,,,,EA:00:CD:3F:9C:21, 2023-01-30 20:31:00, 2023-01-30 20:31:00,-81,1, AC:85:3D:EF:52:D0,
,,,,,,,,,,,,,,,C8:A8:23:11:F7:C1, 2023-01-30 20:30:26, 2023-01-30 20:30:26,-1,1, 8C:FD:18:B0:9E:64,
,,,,,,,,,,,,,,,62:0C:2C:50:28:4E, 2023-01-30 20:30:22, 2023-01-30 20:30:22,-74,1, 00:25:00:FF:94:73,
,,,,,,,,,,,,,,,42:46:D2:02:9B:D6, 2023-01-30 20:30:22, 2023-01-30 20:30:22,-81,1, 00:25:00:FF:94:73,
,,,,,,,,,,,,,,,22:BD:7F:54:3E:16, 2023-01-30 20:30:16, 2023-01-30 20:30:16,-63,4, (not associated) ,
,,,,,,,,,,,,,,,5A:35:0B:C7:2A:90, 2023-01-30 20:30:17, 2023-01-30 20:30:17,-63,2, (not associated) ,
,,,,,,,,,,,,,,,02:18:3E:15:65:DA, 2023-01-30 20:30:16, 2023-01-30 20:30:16,-57,3, F4:92:BF:CA:7C:AC,M-HOME_2.4 FL3
,,,,,,,,,,,,,,,22:F0:E1:B4:79:64, 2023-01-30 20:30:28, 2023-01-30 20:30:28,-65,4, (not associated) ,
,,,,,,,,,,,,,,,6A:68:0C:33:25:DE, 2023-01-30 20:30:30, 2023-01-30 20:30:30,-65,2, (not associated) ,
,,,,,,,,,,,,,,,16:AB:68:A9:76:21, 2023-01-30 20:30:29, 2023-01-30 20:30:29,-55,1, (not associated) ,
,,,,,,,,,,,,,,,F2:7E:6A:36:CD:DF, 2023-01-30 20:31:31, 2023-01-30 20:31:31,-65,1, (not associated) ,
,,,,,,,,,,,,,,,86:78:B6:6A:15:B6, 2023-01-30 20:31:30, 2023-01-30 20:31:30,-61,1, (not associated) ,
,,,,,,,,,,,,,,,9E:74:7A:AD:F7:A1, 2023-01-30 20:31:30, 2023-01-30 20:31:30,-59,1, (not associated) ,
,,,,,,,,,,,,,,,16:34:A2:0D:A0:D5, 2023-01-30 20:31:42, 2023-01-30 20:31:42,-1,1, E8:65:D4:64:D1:11,
,,,,,,,,,,,,,,,F6:F9:CB:93:D0:24, 2023-01-30 20:32:45, 2023-01-30 20:32:45,-69,1, (not associated) ,
,,,,,,,,,,,,,,,12:5A:90:99:66:A1, 2023-01-30 20:32:41, 2023-01-30 20:32:41,-61,1, (not associated) ,
,,,,,,,,,,,,,,,3E:50:CB:E5:2C:0D, 2023-01-30 20:33:08, 2023-01-30 20:33:08,-71,1, (not associated) ,
,,,,,,,,,,,,,,,66:15:D9:1A:90:81, 2023-01-30 20:33:05, 2023-01-30 20:33:05,-67,1, (not associated) ,
,,,,,,,,,,,,,,,DE:FC:0C:86:42:81, 2023-01-30 20:33:09, 2023-01-30 20:33:09,-67,4, (not associated) ,
,,,,,,,,,,,,,,,9E:F0:D8:D8:2D:65, 2023-01-30 20:33:07, 2023-01-30 20:33:07,-1,1, F4:92:BF:CA:7C:AC,
,,,,,,,,,,,,,,,76:16:66:F8:A0:EE, 2023-01-30 20:33:18, 2023-01-30 20:33:18,-73,1, (not associated) ,
,,,,,,,,,,,,,,,C6:7D:DB:25:AC:61, 2023-01-30 20:33:30, 2023-01-30 20:33:30,-67,1, (not associated) ,
,,,,,,,,,,,,,,,A2:37:46:61:74:03, 2023-01-30 20:33:30, 2023-01-30 20:33:30,-59,1, (not associated) ,
,,,,,,,,,,,,,,,62:3D:44:26:AD:5E, 2023-01-30 20:33:31, 2023-01-30 20:33:31,-59,2, (not associated) ,
,,,,,,,,,,,,,,,2E:31:83:42:62:A8, 2023-01-30 20:33:30, 2023-01-30 20:33:30,-57,2, (not associated) ,
,,,,,,,,,,,,,,,36:82:C5:B5:46:82, 2023-01-30 20:33:54, 2023-01-30 20:33:54,-65,3, (not associated) ,
,,,,,,,,,,,,,,,6A:BC:1D:65:CF:E3, 2023-01-30 20:34:08, 2023-01-30 20:34:08,-63,2, (not associated) ,
,,,,,,,,,,,,,,,0A:0B:45:70:38:35, 2023-01-30 20:34:33, 2023-01-30 20:34:33,-63,2, (not associated) ,
,,,,,,,,,,,,,,,6A:B8:F0:F7:39:B1, 2023-01-30 20:35:17, 2023-01-30 20:35:17,-55,1, (not associated) ,
,,,,,,,,,,,,,,,80:4E:70:BC:6E:52, 2023-01-30 20:35:03, 2023-01-30 20:35:33,-69,16, (not associated) ,4405
,,,,,,,,,,,,,,,1E:3D:E7:F1:AA:A4, 2023-01-30 20:35:32, 2023-01-30 20:35:32,-55,2, (not associated) ,
,,,,,,,,,,,,,,,8C:FD:18:B0:9E:64, 2023-01-30 20:36:19, 2023-01-30 20:36:20,-71,11, (not associated) ,
,,,,,,,,,,,,,,,8A:48:B7:D7:0F:DD, 2023-01-30 20:36:17, 2023-01-30 20:36:17,-53,2, (not associated) ,
,,,,,,,,,,,,,,,46:A5:E3:FF:5B:25, 2023-01-30 20:36:31, 2023-01-30 20:36:32,-63,6, (not associated) ,
,,,,,,,,,,,,,,,3C:6A:A7:DC:71:2F, 2023-01-30 20:30:34, 2023-01-30 20:36:30,-57,61, 1A:5F:A7:1C:AB:D7,WRS3_1234
,,,,,,,,,,,,,,,C2:5C:27:08:BF:ED, 2023-01-30 20:35:59, 2023-01-30 20:36:42,-73,3, CA:6F:15:B7:E1:55,
,,,,,,,,,,,,,,,3A:0C:92:97:1D:AE, 2023-01-30 20:30:33, 2023-01-30 20:36:45,-67,66, 50:C7:BF:1A:87:93,Mhome_Private
,,,,,,,,,,,,,,,12:F6:1D:C9:83:10, 2023-01-30 20:36:57, 2023-01-30 20:36:57,-67,2, (not associated) ,
,,,,,,,,,,,,,,,A6:45:17:BC:6B:96, 2023-01-30 20:30:53, 2023-01-30 20:38:01,-87,92, A6:07:B6:39:1A:BE,
,,,,,,,,,,,,,,,00:F4:8D:7D:71:A5, 2023-01-30 20:31:10, 2023-01-30 20:37:59,-75,16, 14:91:82:A4:38:51,
,,,,,,,,,,,,,,,12:D9:75:72:EE:EF, 2023-01-30 20:37:52, 2023-01-30 20:37:52,-73,2, (not associated) ,
,,,,,,,,,,,,,,,D8:A3:15:B5:FC:D1, 2023-01-30 20:30:25, 2023-01-30 20:37:51,-71,10, E8:65:D4:64:D1:11,
,,,,,,,,,,,,,,,76:8C:98:6C:36:53, 2023-01-30 20:31:36, 2023-01-30 20:37:51,-69,9, E8:65:D4:64:D1:11,
,,,,,,,,,,,,,,,84:6F:CE:6F:D0:E9, 2023-01-30 20:32:07, 2023-01-30 20:37:59,-67,8, E8:65:D4:64:D1:11,
,,,,,,,,,,,,,,,14:1F:78:8F:A9:68, 2023-01-30 20:30:16, 2023-01-30 20:38:02,-65,877, F4:92:BF:CA:7C:AC,
,,,,,,,,,,,,,,,F2:AE:8A:33:8E:DD, 2023-01-30 20:37:22, 2023-01-30 20:37:22,-65,1, (not associated) ,
,,,,,,,,,,,,,,,66:4D:1F:E0:BA:E6, 2023-01-30 20:37:22, 2023-01-30 20:37:22,-65,1, (not associated) ,
,,,,,,,,,,,,,,,0A:FA:12:03:9D:ED, 2023-01-30 20:37:23, 2023-01-30 20:37:23,-61,1, (not associated) ,
,,,,,,,,,,,,,,,4E:80:94:C7:2D:70, 2023-01-30 20:30:20, 2023-01-30 20:38:01,-61,308, F4:92:BF:CA:7C:AC,
,,,,,,,,,,,,,,,66:A0:33:AF:7A:06, 2023-01-30 20:30:16, 2023-01-30 20:38:01,-60,328, F0:0F:EC:72:20:98,
,,,,,,,,,,,,,,,DE:70:C4:F9:A5:6F, 2023-01-30 20:30:16, 2023-01-30 20:37:48,-59,71, (not associated) ,OSHINEI_CUSTOMER
,,,,,,,,,,,,,,,52:0D:93:CE:7A:ED, 2023-01-30 20:37:22, 2023-01-30 20:37:22,-57,1, (not associated) ,
,,,,,,,,,,,,,,,E2:79:A6:F1:7C:9B, 2023-01-30 20:37:16, 2023-01-30 20:37:16,-53,2, (not associated) ,
,,,,,,,,,,,,,,,C8:21:58:AF:7D:A5, 2023-01-30 20:30:24, 2023-01-30 20:37:31,-51,45, FC:EC:DA:E6:51:D9,M-HOME_FL4
,,,,,,,,,,,,,,,B8:27:EB:A9:06:0A, 2023-01-30 20:30:25, 2023-01-30 20:37:59,-3,121, 1A:5F:A7:1C:AB:D7,
,,,,,,,,,,,,,,,1C:3B:F3:30:65:C1, 2023-01-30 20:32:42, 2023-01-30 20:37:25,-1,5, AC:9E:17:5C:AE:CC,
,,,,,,,,,,,,,,,EA:E4:ED:DC:D8:71, 2023-01-30 20:30:44, 2023-01-30 20:37:16,-1,32, AC:9E:17:5C:AE:CC,
