BSSID, First time seen, Last time seen, channel, Speed, Privacy, Cipher, Authentication, Power, # beacons, # IV, LAN IP, ID-length, ESSID, Key,Station MAC, First time seen, Last time seen, Power, # packets, BSSID, Probed ESSIDs
B8:3A:08:C6:41:B1, 2023-01-30 20:08:36, 2023-01-30 20:17:09,8,130, WPA2, CCMP, PSK,-77,8,0,   0.  0.  0.  0,11, BANNAKARN_5, ,DE:70:C4:F9:A5:6F, 2023-01-30 20:09:55, 2023-01-30 20:16:40,-67,22, (not associated) ,OSHINEI_CUSTOMER
C2:9B:D1:CB:CF:64, 2023-01-30 20:09:33, 2023-01-30 20:15:42,6,-1, , ,   ,-1,0,0,   0.  0.  0.  0,0, , ,C2:08:90:9F:F6:09, 2023-01-30 20:16:18, 2023-01-30 20:16:18,-61,1, (not associated) ,
B8:3A:08:C5:82:01, 2023-01-30 20:08:26, 2023-01-30 20:15:34,4,130, WPA2, CCMP, PSK,-71,9,0,   0.  0.  0.  0,9, BANNAKAN4, ,1E:4F:F5:4F:D4:CD, 2023-01-30 20:16:15, 2023-01-30 20:16:15,-69,4, (not associated) ,
DE:02:44:0C:2D:23, 2023-01-30 20:07:42, 2023-01-30 20:14:42,6,130, WPA3 WPA2, CCMP, SAE PSK,-72,9,0,   0.  0.  0.  0,23, , ,B6:A5:1E:CF:F0:7F, 2023-01-30 20:16:04, 2023-01-30 20:16:04,-63,2, (not associated) ,
48:F8:DB:20:BA:C4, 2023-01-30 20:11:17, 2023-01-30 20:11:17,6,-1, , ,   ,-1,0,0,   0.  0.  0.  0,0, , ,FE:61:D6:69:53:37, 2023-01-30 20:16:05, 2023-01-30 20:16:05,-65,1, (not associated) ,
16:11:5D:11:29:C9, 2023-01-30 20:07:24, 2023-01-30 20:07:24,3,130, WPA2, CCMP TKIP, PSK,-70,1,0,   0.  0.  0.  0,4, No.X, ,E2:EB:7E:99:17:9E, 2023-01-30 20:09:33, 2023-01-30 20:15:42,-71,3, C2:9B:D1:CB:CF:64,
D8:38:0D:80:A0:C1, 2023-01-30 20:07:51, 2023-01-30 20:08:02,7,130, OPN, ,   ,-76,2,0,   0.  0.  0.  0,11, Maprang_FL5, ,52:A9:F6:48:5D:B4, 2023-01-30 20:15:27, 2023-01-30 20:15:27,-73,1, (not associated) ,
3C:6A:A7:DC:71:2F, 2023-01-30 20:08:51, 2023-01-30 20:08:51,6,-1, OPN, ,   ,-1,0,5,   0.  0.  0.  0,0, , ,C6:6D:D0:AE:CF:CE, 2023-01-30 20:15:17, 2023-01-30 20:15:17,-83,1, (not associated) ,
00:25:00:FF:94:73, 2023-01-30 20:11:24, 2023-01-30 20:16:12,-1,-1, , ,   ,-1,0,0,   0.  0.  0.  0,0, , ,2E:17:DB:C3:91:51, 2023-01-30 20:15:05, 2023-01-30 20:15:05,-69,1, (not associated) ,
E8:65:D4:64:D1:15, 2023-01-30 20:07:17, 2023-01-30 20:17:26,40,780, WPA2, CCMP TKIP, PSK,-84,1,0,   0.  0.  0.  0,8, MHOME_5G, ,64:90:C1:8A:52:9E, 2023-01-30 20:14:35, 2023-01-30 20:14:51,-75,5, 8C:FD:18:B0:9E:64,
AC:85:3D:EF:52:D0, 2023-01-30 20:06:59, 2023-01-30 20:17:25,11,130, WPA2, CCMP, PSK,-82,11,32,   0.  0.  0.  0,9, Big Mouth, ,2A:0E:EA:69:82:96, 2023-01-30 20:14:38, 2023-01-30 20:14:38,-61,1, (not associated) ,
14:91:82:A4:38:51, 2023-01-30 20:07:42, 2023-01-30 20:17:33,6,54, OPN, ,   ,-73,37,2, 192.168.  3.104,13, SrongklodWifi, ,32:63:5A:8F:07:46, 2023-01-30 20:14:38, 2023-01-30 20:14:38,-63,1, (not associated) ,
C0:C9:E3:D7:DD:9D, 2023-01-30 20:07:15, 2023-01-30 20:17:42,2,270, OPN, ,   ,-72,31,10,  10.  2.121.  2,11, Maprang_FL6, ,46:05:52:B6:94:FB, 2023-01-30 20:14:42, 2023-01-30 20:14:42,-65,2, (not associated) ,
56:C1:A1:5C:DE:B9, 2023-01-30 20:15:00, 2023-01-30 20:17:36,11,180, WPA2, CCMP, PSK,-71,16,0,   0.  0.  0.  0,9, realme 5i, ,56:A7:39:33:D0:43, 2023-01-30 20:14:42, 2023-01-30 20:14:42,-65,1, (not associated) ,
10:27:F5:69:FB:1A, 2023-01-30 20:06:59, 2023-01-30 20:17:36,10,270, WPA2, CCMP, PSK,-70,118,0,   0.  0.  0.  0,12, BajangWIFI24, ,4E:C4:F2:9E:5C:8B, 2023-01-30 20:14:38, 2023-01-30 20:14:38,-65,2, (not associated) ,
78:90:A2:8F:A5:CE, 2023-01-30 20:07:09, 2023-01-30 20:17:43,11,360, WPA2, CCMP TKIP, PSK,-70,128,2,   0.  0.  0.  0,10, sirin_2.4G, ,C2:5C:27:08:BF:ED, 2023-01-30 20:14:17, 2023-01-30 20:14:17,-73,9, DE:02:44:0C:2D:23,
F4:92:BF:CA:7C:AC, 2023-01-30 20:06:58, 2023-01-30 20:17:42,1,130, OPN, ,   ,-70,16,93,  10.  5. 50. 79,14, M-HOME_2.4 FL3, ,12:84:94:28:8B:BA, 2023-01-30 20:12:50, 2023-01-30 20:12:50,-65,1, (not associated) ,
AC:9E:17:5C:AE:CC, 2023-01-30 20:06:58, 2023-01-30 20:17:42,6,130, WPA2, CCMP, PSK,-68,96,87,   0.  0.  0.  0,8, MHome2.4, ,A6:30:91:DF:E4:3C, 2023-01-30 20:12:51, 2023-01-30 20:12:51,-71,1, (not associated) ,
8C:FD:18:B0:9E:64, 2023-01-30 20:06:59, 2023-01-30 20:17:43,9,130, WPA2 WPA, CCMP, PSK,-70,134,2,   0.  0.  0.  0,4, Reef, ,9A:B6:F2:21:97:83, 2023-01-30 20:12:51, 2023-01-30 20:12:51,-73,1, (not associated) ,
00:0E:F4:FB:E5:59, 2023-01-30 20:06:58, 2023-01-30 20:17:42,1,130, WPA2 WPA, CCMP TKIP, PSK,-60,127,0,   0.  0.  0.  0,4, TEST, ,F6:87:B0:A1:F0:BD, 2023-01-30 20:10:51, 2023-01-30 20:10:51,-53,1, (not associated) ,
FC:EC:DA:E6:51:D9, 2023-01-30 20:06:59, 2023-01-30 20:17:43,11,130, OPN, ,   ,-62,355,45,  10.  5. 50.  1,10, M-HOME_FL4, ,1A:4B:D5:8F:73:EC, 2023-01-30 20:10:52, 2023-01-30 20:10:52,-55,1, (not associated) ,
50:C7:BF:1A:87:93, 2023-01-30 20:06:58, 2023-01-30 20:17:42,4,130, WPA2, CCMP, PSK,-57,277,175,   0.  0.  0.  0,13, Mhome_Private, ,0E:4A:A4:83:F5:90, 2023-01-30 20:10:51, 2023-01-30 20:10:51,-55,1, (not associated) ,
E8:65:D4:64:D1:11, 2023-01-30 20:06:58, 2023-01-30 20:17:42,5,270, WPA2, CCMP TKIP, PSK,-56,315,19,   0.  0.  0.  0,5, MHOME, ,1E:BB:9A:6E:2A:27, 2023-01-30 20:10:51, 2023-01-30 20:10:51,-73,2, (not associated) ,
1A:5F:A7:1C:AB:D7, 2023-01-30 20:06:58, 2023-01-30 20:17:42,6,130, WPA3 WPA2, CCMP, SAE PSK,-53,382,11,   0.  0.  0.  0,3, Aim, ,D6:CB:C8:F8:23:85, 2023-01-30 20:10:52, 2023-01-30 20:10:52,-83,1, (not associated) ,
F0:0F:EC:72:20:98, 2023-01-30 20:06:58, 2023-01-30 20:17:42,1,130, WPA2, CCMP, PSK,-46,245,8,   0.  0.  0.  0,4, ... , ,8A:4D:92:13:53:C8, 2023-01-30 20:10:41, 2023-01-30 20:10:41,-59,2, (not associated) ,
,,,,,,,,,,,,,,,42:09:3E:3D:17:19, 2023-01-30 20:10:29, 2023-01-30 20:10:29,-59,1, (not associated) ,
,,,,,,,,,,,,,,,02:76:23:2C:9D:B8, 2023-01-30 20:10:26, 2023-01-30 20:10:26,-71,1, (not associated) ,
,,,,,,,,,,,,,,,AE:C3:D1:7D:9F:F1, 2023-01-30 20:09:50, 2023-01-30 20:09:50,-65,2, (not associated) ,
,,,,,,,,,,,,,,,E6:02:2B:96:4E:4D, 2023-01-30 20:09:50, 2023-01-30 20:09:50,-67,2, (not associated) ,
,,,,,,,,,,,,,,,7A:C2:2A:59:8C:32, 2023-01-30 20:09:49, 2023-01-30 20:09:49,-67,2, (not associated) ,
,,,,,,,,,,,,,,,4A:7C:33:88:1F:F0, 2023-01-30 20:09:51, 2023-01-30 20:09:51,-69,1, (not associated) ,
,,,,,,,,,,,,,,,72:D2:A2:F2:CE:06, 2023-01-30 20:08:37, 2023-01-30 20:08:38,-61,2, (not associated) ,
,,,,,,,,,,,,,,,CA:8A:B5:42:F1:3F, 2023-01-30 20:08:30, 2023-01-30 20:08:30,-59,2, (not associated) ,
,,,,,,,,,,,,,,,E2:EB:38:D2:40:A4, 2023-01-30 20:08:04, 2023-01-30 20:08:04,-55,2, (not associated) ,
,,,,,,,,,,,,,,,BE:1D:0E:C2:57:3A, 2023-01-30 20:07:50, 2023-01-30 20:07:50,-61,1, (not associated) ,
,,,,,,,,,,,,,,,B2:24:D8:C9:3C:75, 2023-01-30 20:07:50, 2023-01-30 20:07:50,-61,1, (not associated) ,
,,,,,,,,,,,,,,,22:1D:E2:0C:C0:6E, 2023-01-30 20:07:49, 2023-01-30 20:07:49,-63,1, (not associated) ,
