BSSID, First time seen, Last time seen, channel, Speed, Privacy, Cipher, Authentication, Power, # beacons, # IV, LAN IP, ID-length, ESSID, Key,Station MAC, First time seen, Last time seen, Power, # packets, BSSID, Probed ESSIDs
30:0A:C5:9E:24:63, 2023-01-30 19:45:25, 2023-01-30 19:51:08,11,130, WPA2, CCMP, PSK,-73,7,0,   0.  0.  0.  0,8, PanPanDa, ,56:4F:83:5B:75:6F, 2023-01-30 19:50:28, 2023-01-30 19:50:28,-63,1, (not associated) ,
18:E8:29:FE:EB:AF, 2023-01-30 19:44:41, 2023-01-30 19:50:43,1,-1, , ,   ,-1,0,0,   0.  0.  0.  0,0, , ,CA:D7:80:46:31:61, 2023-01-30 19:50:15, 2023-01-30 19:50:16,-63,4, (not associated) ,
C8:13:8B:95:C3:19, 2023-01-30 19:45:07, 2023-01-30 19:50:42,6,130, WPA2, CCMP, PSK,-73,18,0,   0.  0.  0.  0,0, , ,46:F0:DA:5F:C4:63, 2023-01-30 19:49:49, 2023-01-30 19:49:49,-47,1, (not associated) ,
3C:6A:A7:DC:71:2F, 2023-01-30 19:50:33, 2023-01-30 19:50:34,6,-1, OPN, ,   ,-1,0,12,   0.  0.  0.  0,0, , ,8A:A1:5C:3C:E8:5D, 2023-01-30 19:49:50, 2023-01-30 19:49:50,-49,2, (not associated) ,
16:11:5D:11:29:C9, 2023-01-30 19:46:42, 2023-01-30 19:50:17,3,130, WPA2, CCMP TKIP, PSK,-72,6,0,   0.  0.  0.  0,4, No.X, ,82:EE:47:F8:C8:9B, 2023-01-30 19:49:49, 2023-01-30 19:49:49,-53,1, (not associated) ,
56:C1:A1:5C:DE:B9, 2023-01-30 19:44:51, 2023-01-30 19:50:08,11,180, WPA2, CCMP, PSK,-82,4,1,   0.  0.  0.  0,9, realme 5i, ,9C:2F:9D:9A:5F:43, 2023-01-30 19:49:49, 2023-01-30 19:49:49,-59,3, (not associated) ,
CC:BB:FE:9D:B3:6C, 2023-01-30 19:45:26, 2023-01-30 19:47:07,4,130, WPA2 WPA, CCMP, PSK,-71,3,0,   0.  0.  0.  0,4, A800, ,7E:8B:BA:70:BE:CE, 2023-01-30 19:49:49, 2023-01-30 19:49:49,-61,1, (not associated) ,
E6:E9:5A:47:C7:17, 2023-01-30 19:46:59, 2023-01-30 19:46:59,6,130, WPA2, CCMP, PSK,-76,1,0,   0.  0.  0.  0,17, , ,2A:D6:D2:F2:B7:D6, 2023-01-30 19:49:49, 2023-01-30 19:49:49,-63,6, (not associated) ,
18:56:44:02:41:30, 2023-01-30 19:46:50, 2023-01-30 19:49:16,4,-1, WPA, ,   ,-82,0,1,   0.  0.  0.  0,0, , ,8A:20:A8:33:48:22, 2023-01-30 19:49:41, 2023-01-30 19:49:41,-45,1, (not associated) ,
F6:92:BF:CB:7C:AC, 2023-01-30 19:48:25, 2023-01-30 19:49:26,4,-1, , ,   ,-1,0,0,   0.  0.  0.  0,0, , ,A6:A4:BE:D2:7D:DE, 2023-01-30 19:49:42, 2023-01-30 19:49:42,-83,1, (not associated) ,
64:20:E0:6C:2F:1B, 2023-01-30 19:44:59, 2023-01-30 19:49:50,2,360, WPA2, CCMP, PSK,-72,2,0,   0.  0.  0.  0,0, , ,0E:77:4C:B7:0B:10, 2023-01-30 19:49:30, 2023-01-30 19:49:30,-45,1, (not associated) ,
66:20:E0:1C:2F:1B, 2023-01-30 19:49:50, 2023-01-30 19:49:50,2,360, WPA2, CCMP, PSK,-68,1,0,   0.  0.  0.  0,12, Taewifi_2.4G, ,6A:1F:17:50:D1:A1, 2023-01-30 19:48:25, 2023-01-30 19:49:26,-67,3, F6:92:BF:CB:7C:AC,
94:46:96:56:DC:64, 2023-01-30 19:44:18, 2023-01-30 19:50:16,1,130, WPA2, CCMP TKIP, PSK,-68,12,0,   0.  0.  0.  0,10, Moss2.4GHz, ,3E:AE:AC:1C:18:FD, 2023-01-30 19:49:30, 2023-01-30 19:49:30,-69,4, (not associated) ,
B8:3A:08:C5:82:01, 2023-01-30 19:45:07, 2023-01-30 19:50:26,5,130, WPA2, CCMP, PSK,-76,10,0,   0.  0.  0.  0,9, BANNAKAN4, ,0E:56:89:79:3D:F1, 2023-01-30 19:49:25, 2023-01-30 19:49:25,-85,1, 00:25:00:FF:94:73,
