BSSID, First time seen, Last time seen, channel, Speed, Privacy, Cipher, Authentication, Power, # beacons, # IV, LAN IP, ID-length, ESSID, Key,Station MAC, First time seen, Last time seen, Power, # packets, BSSID, Probed ESSIDs
00:25:00:FF:94:73, 2023-01-30 19:55:26, 2023-01-30 20:00:54,-1,-1, , ,   ,-1,0,0,   0.  0.  0.  0,0, , ,02:18:3E:15:65:DA, 2023-01-30 20:00:16, 2023-01-30 20:00:16,-55,3, F4:92:BF:CA:7C:AC,
18:E8:29:FE:EB:AF, 2023-01-30 19:55:41, 2023-01-30 20:00:07,1,-1, , ,   ,-1,0,0,   0.  0.  0.  0,0, , ,C2:5C:27:08:BF:ED, 2023-01-30 19:55:42, 2023-01-30 20:00:16,-61,2, DE:02:44:0C:2D:23,
18:56:44:02:41:30, 2023-01-30 19:59:16, 2023-01-30 19:59:16,4,-1, WPA, ,   ,-1,0,1,   0.  0.  0.  0,0, , ,34:6F:24:E4:65:8B, 2023-01-30 19:55:54, 2023-01-30 20:00:17,-69,14, (not associated) ,
B8:3A:08:C6:41:B1, 2023-01-30 19:55:33, 2023-01-30 19:56:33,1,130, WPA2, CCMP, PSK,-71,3,0,   0.  0.  0.  0,11, BANNAKARN_5, ,42:44:64:BD:3F:36, 2023-01-30 19:59:37, 2023-01-30 19:59:38,-63,3, (not associated) ,
B8:3A:08:C5:82:01, 2023-01-30 19:55:33, 2023-01-30 19:56:10,5,130, WPA2, CCMP, PSK,-72,2,0,   0.  0.  0.  0,9, BANNAKAN4, ,5C:E5:0C:B3:93:D0, 2023-01-30 19:59:25, 2023-01-30 19:59:25,-1,1, E8:65:D4:64:D1:11,
14:91:82:A4:38:51, 2023-01-30 19:55:26, 2023-01-30 19:56:51,6,54, OPN, ,   ,-82,1,1,   0.  0.  0.  0,13, SrongklodWifi, ,16:8E:DF:A8:52:DD, 2023-01-30 19:59:29, 2023-01-30 19:59:29,-57,1, (not associated) ,
56:C1:A1:5C:DE:B9, 2023-01-30 19:55:44, 2023-01-30 19:56:51,11,180, WPA2, CCMP, PSK,-73,2,0,   0.  0.  0.  0,9, realme 5i, ,82:2D:CD:3F:91:1A, 2023-01-30 19:59:24, 2023-01-30 19:59:24,-67,2, (not associated) ,
84:16:F9:7B:26:77, 2023-01-30 19:57:10, 2023-01-30 19:57:10,7,270, WPA2 WPA, CCMP TKIP, PSK,-74,1,0,   0.  0.  0.  0,9, KATEKAEW5, ,2A:9C:0C:63:61:2E, 2023-01-30 19:59:26, 2023-01-30 19:59:26,-75,2, (not associated) ,
E0:CC:7A:99:FB:CC, 2023-01-30 19:57:17, 2023-01-30 19:59:01,1,130, WPA2 WPA, CCMP, PSK,-69,4,0,   0.  0.  0.  0,4, A400, ,6E:0C:DE:16:FA:B0, 2023-01-30 19:59:14, 2023-01-30 19:59:14,-61,1, (not associated) ,
C8:13:8B:95:C3:19, 2023-01-30 19:55:16, 2023-01-30 19:59:59,6,130, WPA2, CCMP, PSK,-79,13,0,   0.  0.  0.  0,0, , ,EA:51:49:EC:CE:CA, 2023-01-30 19:59:13, 2023-01-30 19:59:13,-61,1, (not associated) ,
CA:13:8B:95:C3:19, 2023-01-30 19:55:16, 2023-01-30 19:59:59,6,130, WPA2, CCMP, PSK,-78,6,0,   0.  0.  0.  0,13, Soulhumack_2G, ,62:B1:F0:27:FB:C6, 2023-01-30 19:59:14, 2023-01-30 19:59:14,-65,3, (not associated) ,
18:CF:24:AE:95:BC, 2023-01-30 19:55:19, 2023-01-30 19:59:59,6,130, WPA2 WPA, CCMP TKIP, PSK,-73,3,0,   0.  0.  0.  0,4, A401, ,C6:2E:C8:92:CD:53, 2023-01-30 19:59:00, 2023-01-30 19:59:01,-69,2, (not associated) ,
F6:92:BF:CB:7C:AC, 2023-01-30 20:00:24, 2023-01-30 20:00:24,1,-1, , ,   ,-1,0,0,   0.  0.  0.  0,0, , ,76:C0:81:7D:F9:AC, 2023-01-30 19:55:43, 2023-01-30 19:58:51,-67,7, 78:90:A2:8F:A5:CE,
C0:C9:E3:D7:DD:9D, 2023-01-30 19:55:53, 2023-01-30 20:01:18,2,270, OPN, ,   ,-69,12,12,   0.  0.  0.  0,11, Maprang_FL6, ,16:D8:B0:82:74:3F, 2023-01-30 19:58:37, 2023-01-30 19:58:37,-63,1, (not associated) ,
26:56:C8:D1:A0:75, 2023-01-30 19:55:18, 2023-01-30 20:01:17,11,65, WPA2, CCMP, PSK,-81,5,0,   0.  0.  0.  0,14, Galaxy A30DBE7, ,86:AB:42:89:C3:84, 2023-01-30 19:57:39, 2023-01-30 19:57:39,-47,2, (not associated) ,
